product_name,category,categoryRank,noRatings,cost,CategoryFactor,CostBenefit
Mr. Shooter: Silence mode,Apps & Games,9,22.0,6.99,0.91,2.864091559370529
Taco Cat Goat Cheese Pizza,Toys & Games,27,37.227,9.84,0.73,2.7617591463414635
"Carson Dellosa | Common Core Math 4 Today Workbook | Grade 5, Printable",Digital Educational Resources,25,27.0,7.49,0.75,2.7036048064085447
BigFoot Shower Curtain Liner – 72 x 72 PEVA Heavy Duty Shower Curtain with Rustproof Metal Grommet and 3 Magnetic Weights – Odor Free and Compatible with Standard Showers,Home & Kitchen,16,25.086,7.99,0.84,2.637326658322903
Ragdoll Bones Breaker,Apps & Games,19,29.0,8.99,0.81,2.612903225806452
"Dishwasher Magnet Clean Dirty Sign, Farmhouse Rustic Wood Design Black and White Non-Scratch/Easy To Read & Slide/Strong Magnet Clean Dirty Magnet for Dishwasher",Appliances,18,22.0,6.99,0.82,2.580829756795422
Hole Protector,Apps & Games,10,20.0,6.99,0.9,2.575107296137339
Master Lock 8143D Bike Lock Cable with Combination,Sports & Outdoors,30,30.75,8.99,0.7,2.39432703003337
Reader's Digest,Magazine Subscriptions,5,19.05,8.0,0.95,2.2621875
Family Handyman,Magazine Subscriptions,7,23.782,10.0,0.93,2.211726
"QHOHQ 3 Pack Screen Protector Designed for iPhone 13 6.1 Inch with 3 Pack Tempered Glass Camera Lens Protector, Ultra HD, 9H Hardness, Scratch Resistant, Easy Install - Case Friendly",Cell Phones & Accessories,13,18.082,7.19,0.87,2.1879471488178024
The Last Mrs. Parrish: A Novel,Kindle Store,22,17.827,6.99,0.78,1.9892789699570819
Grease [Rockin' Rydell Edition] [Blu-ray],Movies & TV,29,27.26,9.99,0.71,1.9373973973973975
"Spectrum | Math Workbook | Grade 6, Printable",Digital Educational Resources,15,19.0,8.99,0.85,1.7964404894327028
"Arae Screen Protector for iPhone 12 / iPhone 12 Pro, HD Tempered Glass Anti Scratch Work with Most Case, 6.1 inch, 3 Pack",Cell Phones & Accessories,36,19.539,6.98,0.64,1.791541547277937
"DINOBROS Dinosaur Toy Pull Back Cars, 6 Pack Dino Toys for 3 Year Old Boys and Toddlers, Boy Toys Age 3,4,5 and Up, Pull Back Toy Cars, Dinosaur Games with T-Rex",Toys & Games,6,18.999,9.99,0.94,1.7876936936936936
Food Network Magazine,Magazine Subscriptions,3,12.788,7.0,0.97,1.7720514285714286
"Amazon Basics Hydrogen Peroxide Topical Solution USP, 32 fluid ounce, Pack of 1",Industrial & Scientific,28,12.979,5.36,0.72,1.7434477611940298
"NEW'C Pack of 3, Glass Screen Protector for iPhone 11 and iPhone XR (6.1""), Anti-Scratch, Anti-Fingerprints, Bubble-Free, 9H Hardness, 0.33mm Ultra Transparent, Ultra Resistant Tempered Glass",Cell Phones & Accessories,29,14.452,5.98,0.71,1.7158729096989964
"TERRO T800 Garbage Guard Trash Can Insect Killer - Kills Flies, Maggots, Roaches, Beetles, and Other Insects","Patio, Lawn & Garden",15,15.802,7.98,0.85,1.6831704260651628
Amazon 5ft USB to Micro-USB Cable (designed for use with Fire tablets and Kindle E-readers),Amazon Devices & Accessories,23,21.818,9.99,0.77,1.6816676676676678
"Ailun 2 Pack Screen Protector Compatible for iPhone 13 [6.1 inch Display]with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD",Cell Phones & Accessories,10,16.515,8.88,0.9,1.6738175675675675
AllRecipes,Magazine Subscriptions,10,9.573,5.75,0.9,1.4983826086956522
"Chalk Markers - 8 Vibrant Colors, Erasable, Non-Toxic, Water-Based, Reversible Tips, Bright Colors For Kids & Adults for Glass or Chalkboard Markers for Businesses, Restaurants, or Use Liquid Chalk Markers on Any Non-Porous Surface","Arts, Crafts & Sewing",9,14.27,8.72,0.91,1.4891857798165136
Do it Yourself,Magazine Subscriptions,18,10.364,5.75,0.82,1.4779965217391307
"Spectrum Reading Workbook, Grade 6",Digital Educational Resources,38,21.0,8.99,0.62,1.4482758620689655
Crayola Crayons 24 ct (Pack of 2),"Arts, Crafts & Sewing",6,8.976,6.2,0.94,1.3608774193548387
Little Blue Truck's Halloween: A Halloween Book for Kids,Books,26,11.414,6.32,0.74,1.3364493670886075
Taste of Home,Magazine Subscriptions,12,8.58,6.0,0.88,1.2584
"Spectrum | Cursive Handwriting Workbook | Grades 3-5, Printable",Digital Educational Resources,18,9.0,5.99,0.82,1.2320534223706177
Southern Living,Magazine Subscriptions,6,9.008,7.0,0.94,1.209645714285714
HGTV Magazine,Magazine Subscriptions,9,10.286,8.0,0.91,1.1700325
Smily Mia Baby Teething Toys for 0-12months Babies,Baby,24,14.887,9.99,0.76,1.1325445445445446
PJ Masks™: Moonlight Heroes,Apps & Games,36,11.354,6.49,0.64,1.1196548536209552
"Ailun 2Pack Screen Protector Compatible for iPhone 13 Pro [6.1 inch] Display 2021 + 2 Pack Camera Lens Protector,Tempered Glass Film,[9H Hardness] - HD [Not for iPhone 13 Pro Max]",Cell Phones & Accessories,15,11.622,8.88,0.85,1.1124662162162162
"Dr. Scholl's Cracked Heel Repair Balm 2.5oz, with 25% Urea for Dry Cracked Feet, Heals and Moisturizes for Healthy Feet",Beauty & Personal Care,16,9.814,8.29,0.84,0.9944221954161642
Empty Mist Spray Bottle - Choose Size/Color,Beauty & Personal Care,12,7.795,6.99,0.88,0.9813447782546495
Stranger Things Maya Hawke as Robin One Summer Can Change Everthing 8 x 10 Inch Photo,Entertainment Collectibles,5,8.0,7.95,0.95,0.9559748427672955
Nina Ottosson by Outward Hound Dog Worker Green Interactive Treat Puzzle Dog Toy,Pet Supplies,6,5.107,5.1,0.94,0.9412901960784315
Good Housekeeping,Magazine Subscriptions,8,6.839,7.0,0.92,0.8988400000000001
"Spectracide 65865 HG-65865 Wasp & Hornet Killer Aerosol, 20-oz, 2-PK, Case Pack of 2, Multicolor","Patio, Lawn & Garden",26,5.913,5.37,0.74,0.8148268156424582
Men's Health,Magazine Subscriptions,11,7.307,8.0,0.89,0.81290375
[4 Pack] iVoler Tempered Glass Screen Protector Designed for Nintendo Switch OLED Model 2021 with [Alignment Frame]Transparent HD Clear[Updated Version]Screen Protector for Nintendo Switch OLED 7'',Video Games,29,9.429,8.44,0.71,0.7931978672985782
Cosmopolitan,Magazine Subscriptions,26,6.371,6.0,0.74,0.7857566666666668
Stranger Things Sadie Sink as Max One Summer Can Change Everthing 8 x 10 Inch Photo,Entertainment Collectibles,12,7.0,7.95,0.88,0.7748427672955975
"Mielle Organics Rosemary Mint Scalp & Hair Strengthening Oil With Biotin & Essential Oils, Nourishing Treatment for Split Ends, Dry Scalp, & Hair Growth, Safe For All Hair Types, 2-Fluid Ounces",Beauty & Personal Care,28,8.662,8.25,0.72,0.7559563636363636
"Febreze Unstopables Car Air Freshener, Unstopables Fresh Scent, Odor Eliminator for Strong Odor Car Vent Clips, .07 Fl Oz (3 Count)",Automotive,10,6.568,7.94,0.9,0.7444836272040302
Where the Sky Begins: A Novel,Kindle Store,28,6.082,5.99,0.72,0.731058430717863
Popular Mechanics,Magazine Subscriptions,17,6.15,7.0,0.83,0.7292142857142857
Outward Hound Nina Ottosson Dog Tornado Interactive Treat Puzzle Dog Toy,Pet Supplies,18,4.523,5.1,0.82,0.7272274509803921
It's Not Summer Without You,Books,26,8.572,9.36,0.74,0.6777008547008546
Country Living,Magazine Subscriptions,14,4.724,6.0,0.86,0.6771066666666666
"Flo-Master by Hudson 24101 1 Gallon Lawn and Garden Tank Sprayer, Translucent","Patio, Lawn & Garden",12,7.659,9.97,0.88,0.6760200601805415
Bentgo Buddies Reusable Ice Pack - 4 Pack,Home & Kitchen,15,7.944,9.99,0.85,0.6759159159159158
"Spectrum - Word Study and Phonics, Grade 3",Digital Educational Resources,14,7.0,8.99,0.86,0.6696329254727474
VALORANT $10 Gift Card - PC [Online Game Code],Video Games,29,9.153,10.0,0.71,0.6498630000000001
Just Rope Like Tangle,Apps & Games,25,6.0,6.99,0.75,0.6437768240343348
"SYNERLOGIC Mac OS (Monterey/Big Sur/Catalina/Mojave) Keyboard Shortcuts, M1/M2/Intel No-Residue Clear Vinyl Sticker, Compatible with 13-16-inch MacBook Air and Pro",Computers & Accessories,43,6.153,5.95,0.57,0.5894470588235293
We'll Always Have Summer (The Summer I Turned Pretty),Books,27,7.439,9.31,0.73,0.5832943071965627
"Bekayshad Stickers for Water Bottles, 100 Pack/PCS Hydroflask Stickers for Kids Teens Waterproof Cute Vsco Vinyl Stickers Laptop Skateboard Luggage Computer Stickers for Teens Girls Kids",Computers & Accessories,13,4.672,6.99,0.87,0.5814935622317596
Birds & Blooms,Magazine Subscriptions,29,7.922,10.0,0.71,0.5624619999999999
"Ailun 2Pack Privacy Screen Protector Compatible for iPhone 13 Pro Max[6.7 inch] + 2 Pack Camera Lens Protector, Anti Spy Private Tempered Glass Film,[9H Hardness] - HD [Black]",Cell Phones & Accessories,38,8.086,8.98,0.62,0.5582761692650334
Sound Wall Posters with Mouth Pictures,Digital Educational Resources,10,4.0,6.5,0.9,0.5538461538461539
"Donald Trump Gold Coin, Gold Plated Collectable Coin and Case Included, 45th President, Certificate of Authenticity Official",Collectible Coins,1,5.462,9.95,0.99,0.5434552763819096
Shop iconic Murano glass jewelry and home decor straight from Venice,Amazon Explore,23,7.0,10.0,0.77,0.539
Forever After All: A Billionaire Marriage of Convenience Novel,Kindle Store,24,4.241,5.99,0.76,0.5380901502504173
The Washington Post Digital Access,Kindle Store,18,3.869,5.99,0.82,0.5296460767946577
"Spectrum | Math Workbook | Grade 5, Printable",Digital Educational Resources,1,4.733,8.99,0.99,0.5212091212458286
Termit Attack,Apps & Games,22,6.0,8.99,0.78,0.5205784204671857
Car and Driver,Magazine Subscriptions,15,4.067,7.5,0.85,0.46092666666666665
Food & Wine,Magazine Subscriptions,23,3.41,5.75,0.77,0.4566434782608696
"Crayola Ultra-Clean Washable Markers, Broad Line, 8 Count",Toys & Games,12,4.322,8.99,0.88,0.42306562847608453
"Stickers for Water Bottles, 100 Pack/PCS Hydroflask Stickers for Kids Teens Waterproof Cute Vsco Vinyl Stickers Laptop Skateboard Luggage Computer Stickers for Teens Girls Kids",Computers & Accessories,11,4.491,9.99,0.89,0.4000990990990991
Women's Health,Magazine Subscriptions,25,3.704,7.0,0.75,0.39685714285714285
"[3 Pairs] Replacement Ear Tips for Airpods Pro with Noise Reduction Hole, Silicone Ear Tips for Airpods pro with Portable Storage Box and Fit in The Charging Case (S/M/L, White)",Electronics,41,6.251,9.99,0.59,0.36917817817817816
"Spectrum | Math Workbook | Grade 3, Printable",Digital Educational Resources,7,3.541,8.99,0.93,0.36631034482758623
Jack Nicholson 8 x 10 Photo Batman as The Joker Black & White Pic Headshot Mouth Open Really Creepy kn,Entertainment Collectibles,7,3.0,7.99,0.93,0.34918648310387984
Wired,Magazine Subscriptions,16,3.229,8.0,0.84,0.339045
"SINGARO Car Cup Coaster, Car Interior Accessories",Automotive,30,2.781,5.99,0.7,0.32499165275459097
1993 Skybox Ultraverse (100) Card Set NM/MT,Entertainment Collectibles,19,4.0,9.99,0.81,0.32432432432432434
Vanity Fair,Magazine Subscriptions,7,2.544,8.0,0.93,0.29574
The Big Dark Sky,Kindle Store,27,4.014,9.99,0.73,0.29331531531531535
Twenty Years Later: A Riveting New Thriller,Kindle Store,14,3.076,9.41,0.86,0.28112221041445273
"Cable Zip Ties,400 Pack Black Zip Ties Assorted Sizes 12+8+6+4 Inch,Multi-Purpose Self-Locking Nylon Cable Ties Cord Management Ties,Plastic Wire Ties for Home,Office,Garden,Workshop. By HAVE ME TD",Electronics,38,3.166,6.99,0.62,0.28081831187410583
"Piano Keyboard Stickers for 88/61/54/49/37 Key, Bold Large Letter Piano Stickers for Learning, Removable Piano Keyboard Letters, Notes Label for Beginners and Kids, Multicolor",Musical Instruments,42,3.284,6.99,0.58,0.2724921316165951
Bittersweet Memories (Off-Limits),Kindle Store,12,1.697,5.99,0.88,0.24930884808013354
TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,Collectible Coins,2,1.277,5.5,0.98,0.22753818181818178
What She Found (Tracy Crosswhite Book 9),Kindle Store,16,1.51,5.99,0.84,0.21175292153589315
"Spectrum | Language Arts Workbook | Grade 7, Printable",Digital Educational Resources,20,2.364,8.99,0.8,0.2103670745272525
Funny You Should Ask: A Novel,Kindle Store,23,2.598,9.99,0.77,0.20024624624624623
You Look Amazing Mirror Decal Vinyl Decal Bathroom Decor Shower Door Decal 18x2.5 inch,Handmade Products,8,2.024,9.99,0.92,0.1863943943943944
"Spectrum | Language Arts Workbook | Grade 8, Printable",Digital Educational Resources,14,1.925,8.99,0.86,0.18414905450500554
"Teens Hero Stickers[100pcs] Waterproof for Decal,Laptop Hydro Flask Water Bottle Car Cup Computer Guitar Skateboard Luggage Bike Bumper, Kid/Teen Gift",Computers & Accessories,18,1.764,7.99,0.82,0.1810362953692115
"Purell Advanced Hand Sanitizer Refreshing Gel, Clean Scent, 1 Liter Pump Bottle (Pack of 1) – 9632-04-CMR",Industrial & Scientific,25,2.383,9.89,0.75,0.1807128412537917
"Spectrum | Math Workbook | Grade 2, Printable",Digital Educational Resources,33,2.344,8.99,0.67,0.17469187986651835
